Customer_ID,Age,Gender,Occupation,City,Monthly_Income,Annual_Income,Family_Size,Current_Housing_Status,Plot_Budget,Preferred_Plot_Size_SqFt,Preferred_Location,Distance_to_City_Center_km,Purpose,Loan_Required,Expected_Purchase_Timeline,Lead_Source,Enquiry_Date,Previous_Enquiry,Site_Visit,Negotiation_Done,Booking_Done,Purchase_Probability,Purchase_Intent,Purchased,Purchase_Value
CUST_15102,43,male,Real Estate,Bengaluru,"₹605,900",7270800,5,Owned Flat/House,"33,980,000",3000,Suburbs,25.9,Investment,Yes,6-12 months,Magicbricks / Real Estate Portal,2025-02-25,Yes,Yes,No,None,0.5445,Medium,Yes,33280000
CUST_20495,32,Male,Healthcare & Doctor,Bengaluru,97900,1174800,3,Living with Parents,5700000,1200,Suburbs,15.3,Self-use,Y,1-3 years,Google & Social Media Ads,2024-07-05,Yes,0,?,No,0.0863,Low,no,0
CUST_14232,19,Female,IT & Software,Hyderabad,84000,1008000,1,Living with Parents,"INR 4,410,000",1000,Periphery / Growth Corridor,25.9,Self-use,yes,6-12 months,Magicbricks / Real Estate Portal,05/09/2024,N,Yes,No,No,0.2517,Low,No,0
CUST_19490,26,Male,Retail & Commerce,Bengaluru,123100,1477200,4,Living with Parents,6070000,1500 Sq Ft,suburbs,23.1,Self-use,Y,>3 years,Google & Social Media Ads,11-Sep-2024,Yes,Yes,No,No,0.1696,Low,N,0
CUST_16315,29,Female,Self-Employed / Business,bengaluru,nan,1762800,4,Rented,7250000,1500,Suburbs,28.5,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,2024-07-31,0,Yes,Yes,Yes,0.9885,High,Yes,7040000
CUST_14861,51,M,None,Noida,416200,4994400,3,Owned Flat/House,14090000,1200,City Centre,3.8,Self-use,Yes,0-6 months,Google & Social Media Ads,30/03/2024,Yes,Yes,Yes,no,0.9275,High,Yes,13420000
CUST_13457,42,F,IT & Software,BLR,158900,1906800,6,Rented,5520000,1200,Periphery / Growth Corridor,36.4,Investment,Yes,1-3 years,Magicbricks / Real Estate Portal,2025-03-01,Yes,Yes,No,No,0.1969,Low,No,0
CUST_20664,33,Female,BFSI & Banking,Chennai,37800,453600,3,Owned Flat/House,"INR 2,000,000",1000,Periphery / Growth Corridor,42.9,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,23-Feb-2025,No,0,No,N,0.2053,Low,No,0
CUST_20344,32,Female,Self Employed,Delhi,"₹63,000",756000,2,Rented,"INR 2,120,000",1000,Periphery / Growth Corridor,28.1,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,27-Apr-2024,Yes,Yes,Yes,No,0.824,High,Y,2050000
CUST_17983,36,male,IT & Software,Mumbai,null,750000,6,Rented,21.2 Lakh,600 Sq Ft,Periphery / Growth Corridor,47.3,Investment,Yes,6-12 months,Magicbricks / Real Estate Portal,22-Jun-2025,None,Yes,Yes,No,0.8871,High,Yes,2060000
CUST_12855,25,Female,IT & Software,NOIDA,"₹46,600",559200,2,Rented,"2,680,000",600,Suburbs,28.0 km,Self-use,yes,0-6 months,Magicbricks / Real Estate Portal,26-May-2024,No,nan,1,yes,0.99,High,yes,2590000
CUST_11934,34,male,Government & PSU,Gurugram,"166,500",1998000,3,Living with Parents,8160000,1500,Suburbs,21.6,Self-use,1,6-12 months,Channel Partner / Broker,2024-05-03,No,N,N,No,0.1281,Low,No,0
CUST_15156,37,Female,Builder / Contractor,Pune,Confidential,868800,3,Owned Flat/House,2430000,600 sq.ft,Suburbs,17.5,Investment,Yes,1-3 years,Google & Social Media Ads,09/01/2025,Y,Yes,No,no,0.1976,Low,No,0
CUST_10024,38,Female,Govt,Gurugram,0.77 Lakh/pm,919200,4,Living with Parents,3000000,600,Suburbs,24.5 km,Self-use,1,1-3 years,Google & Social Media Ads,2024-12-09,No,0,No,No,0.0794,Low,0,0
CUST_12739,36,male,IT & Software,Chennai,"55,700",668400,5,Rented,2530000,600,Suburbs,29.3,Self-use,1,1-3 years,Channel Partner / Broker,2024-12-31,Y,No,No,No,0.1808,Low,No,0
CUST_11961,31,Male,Self-Employed / Business,Mumbai,?,1548000,4,Rented,62.4 Lakh,1500,Any,17.5 km,Investment,Yes,6-12 months,Direct Walk-in / Exhibition,2024-06-11,Y,Yes,0,No,0.6447,Medium,Yes,6060000
CUST_11219,26,male,IT & Software,Noida,33400,400800,3,Rented,nan,900,nan,35.8,Self-use,Yes,1-3 years,Google & Social Media Ads,07/04/2025,yes,1,Yes,Yes,0.963,High,yes,1890000
CUST_13601,53,null,govt job,Bengaluru,154400,1852800,4,Rented,7360000,1200,Suburbs,17.3,Self-use,Y,>3 years,Channel Partner / Broker,2025-04-19,yes,No,N,0,0.0619,Low,N,0
CUST_19991,40,Male,IT & Software,Pune,"122,400",1468800,4,Rented,6260000,1200 Sq Ft,Within City Limits,15.6,Self-use,Yes,1-3 years,Channel Partner / Broker,01-14-2024,No,No,no,No,0.1215,Low,0,0
CUST_18906,45 yrs,Male,Business,Pune,230300,2763600,5,Living with Parents,9280000,1200,suburbs,16.3,Self-use,Yes,6-12 months,Magicbricks / Real Estate Portal,2024-11-21,No,No,No,No,0.3331,Low,Yes,9260000
CUST_10816,35,male,Education & Academic,BANGALORE,67500,810000,4,Rented,3130000,66 sq.yd,Suburbs,29.4,Investment,yes,0-6 months,Google & Social Media Ads,19/04/2025,Yes,Yes,Yes,Yes,0.99,High,Yes,2970000
CUST_21003,25,Male,Healthcare & Doctor,Mumbai,"189,800",2277600,1,Living with Parents,"INR 9,560,000",1500,Periphery / Growth Corridor,33.6 km,Self-use,Yes,1-3 years,Google & Social Media Ads,2024-09-10,0,No,No,No,0.0712,Low,No,0
CUST_18686,36,Male,bfsi,Pune,159800,1917600,4,Owned Flat/House,5180000,1000 sq.ft,Periphery / Growth Corridor,38.1,Self-use,No,0-6 months,Google & Social Media Ads,02-28-2025,yes,Yes,yes,No,0.9117,High,Yes,4960000
CUST_16602,29,Female,Healthcare & Doctor,Chennai,1.52 Lakh/pm,1819200,4,Rented,5650000,1000,Periphery / Growth Corridor,40.1 km,Self-use,0,6-12 months,Magicbricks / Real Estate Portal,16/12/2024,No,No,No,N,0.1419,Low,No,0
CUST_16586,34,M,IT & Software,Chennai,0.7 Lakh/pm,846000,3,Rented,2610000,600,Suburbs,26.8,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,01-24-2024,yes,Yes,Yes,No,0.9595,High,Yes,2480000
CUST_18548,44,Male,IT & Software,Mumbai,135900,1630800,3,Rented,43.6 Lakh,1000,Periphery / Growth Corridor,45.6,Investment,Yes,6-12 months,Magicbricks / Real Estate Portal,2024-07-26,Yes,No,No,No,0.1869,Low,0,0
CUST_17266,69,Female,IT,Pune,"₹355,000",4260000,3,Rented,11770000,1200,Suburbs,16.2,Investment,Yes,1-3 years,Channel Partner / Broker,06/02/2024,Yes,N,N,No,0.1105,Low,No,0
CUST_12373,44,Female,Software Engineer,Bengaluru,83600,1003200,4,Living with Parents,3280000,900 Sq Ft,Suburbs,27.4,Self-use,Yes,6-12 months,Google & Social Media Ads,07/08/2024,1,Yes,N,No,0.6478,Medium,Yes,3240000
CUST_13458,28,Male,Retail & Commerce,MMR,41100,493200,3,Owned Flat/House,2000000,900 sq.ft,Within City Limits,9.3,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,2024-07-13,Yes,Y,Yes,no,0.9069,High,Yes,1920000
CUST_10131,39,M,Healthcare & Doctor,Chennai,53200,638400,4,Rented,2000000,100 sq.yd,Suburbs,23.3 km,Investment,Yes,1-3 years,Magicbricks / Real Estate Portal,2024-12-21,Yes,Yes,No,No,0.2376,Low,No,0
CUST_16985,31,Male,BFSI & Banking,Delhi,"₹81,200",974400,3,Rented,3830000,900,Periphery / Growth Corridor,36.5,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,2025-01-16,Yes,yes,No,No,0.2581,Low,No,0
CUST_14394,18,Female,Self-Employed / Business,Pune,70700,848400,1,Rented,34.2 Lakh,600,Suburbs,19.6,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,07-11-2024,N,Yes,No,No,0.1531,Low,Yes,3410000
CUST_19388,31,Male,Self-Employed / Business,Delhi,206900,2482800,4,Rented,"9,280,000",1800,City Centre,8.9,Self-use,Y,0-6 months,Print / Newspaper Ad,2024-10-31,yes,Yes,Yes,Y,0.99,High,Yes,8930000
CUST_12853,49,Male,Banking,Hyderabad,"137,300",1647600,4,Rented,7740000,133 sq.yd,Within City Limits,15.1,Self-use,1,1-3 years,Channel Partner / Broker,05-28-2025,No,no,No,No,0.0667,Low,No,0
CUST_16921,51,Female,IT & Software,Delhi,Confidential,2575200,2,Living with Parents,10800000,1800,Periphery / Growth Corridor,35.0,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,nan,Yes,N,No,N,0.4248,Medium,Yes,10480000
CUST_14156,35,Male,Government & PSU,Ahmedabad,114900,1378800,3,Living with Parents,4950000,1200 Sq Ft,Within City Limits,17.4 km,Investment,No,0-6 months,Google & Social Media Ads,2024-09-26,Yes,no,No,no,0.5023,Medium,Y,4830000
CUST_21253,38,Male,Real Estate & Construction,Bengaluru,"₹235,500",2826000,5,Rented,12080000,nan,Periphery / Growth Corridor,42.6,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,2025-02-15,N,nan,no,No,0.0857,Low,N,0
CUST_13667,29,Male,Self-Employed / Business,Bengaluru,"₹254,600",3055200,3,Rented,"INR 10,290,000",1800 sq.ft,City Centre,5.3 km,Self-use,Yes,0-6 months,Channel Partner / Broker,2024-03-09,No,Yes,N,No,0.7161,High,Yes,10250000
CUST_18516,43,Male,Government & PSU,Mumbai,,2552400,4,Living with Parents,11740000,1800,Suburbs,17.1,Investment,Yes,6-12 months,Magicbricks / Real Estate Portal,01-Dec-2024,Yes,Yes,Y,Yes,0.9895,High,yes,11040000
CUST_20591,34,male,Manufacturing & Engg,Gurugram,112600,1351200,3,Living with Parents,6300000,1500,Periphery / Growth Corridor,27.6,Self-use,Yes,1-3 years,Print / Newspaper Ad,08-14-2024,Yes,No,no,nan,0.1284,Low,No,0
CUST_21886,44,Female,Banker,Pune,268100,3217200,4,Owned Flat/House,"INR 15,190,000",1800 sq.ft,Within City Limits,nan,Investment,Yes,6-12 months,Print / Newspaper Ad,2024-08-27,No,N,no,no,0.0816,Low,Yes,15100000
CUST_20965,31,M,IT & Software,Bengaluru,68800,825600,2,Rented,3150000,1200 sq.ft,Suburbs,18.3,Self-use,Yes,1-3 years,Direct Walk-in / Exhibition,02-16-2025,N,No,No,No,0.1262,Low,Y,3140000
CUST_20671,39,Male,PSU Employee,Gurugram,81100,973200,3,Living with Parents,4650000,1200,city centre,N/A,Self-use,Yes,0-6 months,Direct Walk-in / Exhibition,2024-05-14,Yes,Yes,yes,Yes,0.99,High,Yes,4530000
CUST_14078,32,Male,IT & Software,Ahmedabad,,1814400,4,Rented,71.4 Lakh,1200,Suburbs,19.0,Investment,No,0-6 months,Magicbricks / Real Estate Portal,25/11/2024,?,Yes,No,No,0.6107,Medium,Yes,7050000
CUST_15044,44,Male,IT & Software,DELHI,4.45 Lakh/pm,5344800,4,Owned Flat/House,25020000,3000,within city limits,15.2 km,Investment,Yes,1-3 years,Magicbricks / Real Estate Portal,2024-01-01,N,No,No,No,0.0607,Low,No,0
CUST_15799,30,Male,Healthcare & Doctor,Noida,"₹76,600",919200,4,Owned Flat/House,3020000,900,null,17.2,Investment,0,0-6 months,Magicbricks / Real Estate Portal,27-Mar-2024,nan,No,N,No,0.2966,Low,?,3020000
CUST_11792,40,Male,Manufacturing & Engg,Mumbai,"₹152,600",1831200,5,Living with Parents,5740000,1500,Within City Limits,nan,Investment,yes,6-12 months,Channel Partner / Broker,10/05/2024,no,Yes,No,No,0.645,Medium,no,0
CUST_14331,50,Male,Self-Employed / Business,Gurugram,129000,1548000,4,Rented,Not Disclosed,1800 Sq Ft,Suburbs,16.2 km,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,06/05/2024,Y,yes,N,No,0.7687,High,yes,5410000
CUST_18217,35,Male,IT,Mumbai,"₹265,100",3181200,4,Living with Parents,"INR 9,270,000",1800,nan,25.3,Self-use,yes,0-6 months,Google & Social Media Ads,05-03-2025,No,1,?,No,0.8313,High,Yes,9080000
CUST_20845,39 yrs,Female,Self-Employed / Business,Noida,98200,1178400,3,Owned Flat/House,52.8 Lakh,1500,Within City Limits,11.9,Self-use,No,6-12 months,Google & Social Media Ads,15/01/2025,No,No,No,No,0.108,Low,No,0
CUST_21693,34,Male,Self-Employed / Business,Delhi,"211,900",2542800,2,Rented,7760000,1200,Periphery / Growth Corridor,27.3 km,Self-use,Y,6-12 months,Magicbricks / Real Estate Portal,15/10/2024,No,0,No,No,0.2983,Low,Yes,7580000
CUST_13557,32,Male,Education & Academic,MMR,"35,200",422400,3,Living with Parents,20.0 Lakh,1200 sq.ft,nan,10.9,Self-use,Yes,6-12 months,Channel Partner / Broker,12-Sep-2024,None,no,No,No,0.1924,Low,N,0
CUST_14307,32,Male,Healthcare & Doctor,Gurugram,69300,831600,4,Rented,2580000,600 sq.ft,city centre,4.5,Self-use,Yes,1-3 years,Magicbricks / Real Estate Portal,26-Jun-2025,0,0,0,0,0.1046,Low,No,0
CUST_15080,27,Female,nan,Ahmedabad,70600,847200,4,Living with Parents,"INR 2,740,000",900,Periphery / Growth Corridor,31.2,Investment,Yes,1-3 years,Google & Social Media Ads,2024-06-29,Yes,No,No,No,0.0968,Low,None,0
CUST_19085,-42,?,Doctor,Delhi,95100,1141200,6,Rented,4120000,1200 Sq Ft,Suburbs,20.8,Self-use,Yes,6-12 months,Print / Newspaper Ad,07/05/2024,Yes,Y,Yes,Yes,0.99,High,Yes,3940000
CUST_21894,43,Male,Manufacturing & Engg,Kolkata,28500,342000,5,Owned Flat/House,2000000,600,within city limits,15.7,Self-use,Yes,1-3 years,Google & Social Media Ads,30-Sep-2024,No,No,N,0,0.0468,Low,No,0
CUST_14000,N/A,Male,BFSI & Banking,Mumbai,1.83 Lakh/pm,2196000,4,Rented,9560000,1200,City Centre,3.8,Self-use,Yes,0-6 months,Direct Walk-in / Exhibition,14-Jan-2025,0,Yes,No,No,0.38,Medium,No,0
CUST_12894,26,female,Retail & Commerce,Pune,"₹64,900",778800,4,Rented,2110000,1200,Suburbs,20.3,Investment,Yes,1-3 years,Google & Social Media Ads,2024-05-22,No,N,No,No,0.0351,Low,No,0
CUST_16518,70,nan,Healthcare & Doctor,BLR,?,1129200,5,Owned Flat/House,"INR 4,930,000",1000,Suburbs,26.3 km,Self-use,Yes,0-6 months,Channel Partner / Broker,2024-05-18,yes,Y,Yes,Yes,0.99,High,Yes,4760000
CUST_14040,51,Male,Education & Academic,Hyderabad,1.82 Lakh/pm,2179200,6,Rented,"INR 10,270,000",1500,Within City Limits,12.2,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,2025-05-27,no,1,no,yes,0.9638,High,Y,10030000
CUST_21289,42,M,Education & Academic,Delhi,112000,1344000,4,Rented,5630000,1800,periphery / growth corridor,32.3 km,Self-use,Yes,>3 years,Google & Social Media Ads,03/06/2025,no,No,No,No,0.0552,Low,None,0
CUST_16114,34,Female,IT & Software,Hyderabad,94800,1137600,3,Rented,39.2 Lakh,600,Suburbs,26.3,Self-use,yes,6-12 months,Magicbricks / Real Estate Portal,03-25-2025,No,No,No,N,0.2572,Low,0,0
CUST_13063,26,Male,Healthcare & Doctor,noida,"51,000",612000,3,Rented,2260000,1000,suburbs,18.1 km,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,2024-05-21,yes,Yes,Yes,No,0.9244,High,No,0
CUST_13716,27,M,,Mumbai,0.28 Lakh/pm,336000,2,Living with Parents,2000000,900,Periphery / Growth Corridor,44.7,Investment,Yes,6-12 months,Print / Newspaper Ad,08-01-2024,Yes,1,Yes,No,0.7839,High,Yes,1940000
CUST_17337,12,Female,IT Sector,Mumbai,"210,500",2526000,5,Rented,nan,1200 sq.ft,Suburbs,29.4,Self-use,Yes,6-12 months,Magicbricks / Real Estate Portal,02-16-2025,Yes,No,N,No,0.2492,Low,no,0
CUST_14521,37,Male,Healthcare & Doctor,Bengaluru,188000,2256000,4,Rented,7490000,1500,Periphery / Growth Corridor,45.5,Self-use,Yes,6-12 months,Direct Walk-in / Exhibition,2024-08-16,No,Yes,no,no,0.4065,Medium,Yes,7390000
CUST_10053,43 yrs,Male,Doctor,Chennai,"₹79,700",956400,3,Rented,3070000,600 Sq Ft,Suburbs,25.6,Self-use,1,0-6 months,Magicbricks / Real Estate Portal,25-Mar-2025,No,N,no,No,0.4563,Medium,Yes,3070000
CUST_16162,34,Male,IT & Software,Noida,1.15 Lakh/pm,1380000,2,Rented,5160000,1000,Periphery / Growth Corridor,34.0,Self-use,Yes,>3 years,Magicbricks / Real Estate Portal,01/03/2024,No,N,N,no,0.0372,Low,No,0
CUST_13297,61,Male,Retail & Commerce,Noida,317200,3806400,2,Rented,1.45 Cr,1500 Sq Ft,Periphery / Growth Corridor,,Investment,Yes,0-6 months,Google & Social Media Ads,2024-03-02,yes,Yes,No,0,0.6547,High,N,0
CUST_13468,41,Male,it / software,Hyderabad,190400,2284800,3,Living with Parents,"8,520,000",2400 sq.ft,null,29.1,Investment,Yes,1-3 years,Google & Social Media Ads,26/07/2024,No,Y,Yes,No,0.7619,High,No,0
CUST_12059,43,MALE,Self-Employed / Business,Pune,"115,500",1386000,4,Rented,6790000,1200,City Centre,6.5 km,Investment,N,0-6 months,Google & Social Media Ads,05-03-2025,No,No,No,No,0.2062,Low,No,0
CUST_12926,43,Female,Manufacturing & Engg,Bengaluru,"₹92,300",1107600,5,Rented,3590000,900,Periphery / Growth Corridor,43.3,Self-use,No,1-3 years,Direct Walk-in / Exhibition,22-Apr-2024,Yes,N,No,N,0.178,Low,No,0
CUST_10703,43,M,BFSI & Banking,Chennai,"₹137,000",1644000,4,Living with Parents,7710000,1500,Within City Limits,10.0,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,,yes,Yes,1,Y,0.99,High,Y,7360000
CUST_19675,63,M,Retired,Pune,125700,1508400,6,Rented,5860000,1000 Sq Ft,Suburbs,23.8,Investment,Yes,>3 years,Google & Social Media Ads,02-21-2024,Y,No,N,No,0.0321,Low,No,0
CUST_14288,44,Male,Self-Employed / Business,Hyderabad,191700,2300400,4,Rented,9840000,1500,Periphery / Growth Corridor,31.5,Investment,No,1-3 years,Channel Partner / Broker,2025-02-19,No,1,No,no,0.1469,Low,Yes,9680000
CUST_15186,-29,Male,Manufacturing & Engg,Noida,"₹57,200",686400,3,Rented,3190000,600,Suburbs,28.3,Investment,Yes,6-12 months,Google & Social Media Ads,2024-06-12,Yes,No,nan,No,0.1361,Low,No,0
CUST_18501,69,Male,Retired,DELHI,nan,1615200,6,Owned Flat/House,5220000,1800,Within City Limits,10.0,Self-use,None,>3 years,Print / Newspaper Ad,2024-11-11,No,No,no,No,0.0419,Low,0,0
CUST_21000,27,Male,IT & Software,Mumbai,0.28 Lakh/pm,336000,4,Living with Parents,"2,000,000",1000,City Centre,2.7,Investment,No,6-12 months,Google & Social Media Ads,09/09/2024,Yes,nan,No,N,0.1265,Low,Yes,1990000
CUST_16901,26,Male,Government & PSU,Gurugram,"28,000",336000,2,Living with Parents,20.0 Lakh,900,Periphery / Growth Corridor,47.8,Investment,1,6-12 months,Magicbricks / Real Estate Portal,15/09/2024,Yes,No,no,No,0.2039,Low,no,0
CUST_16184,50,Female,IT,Chennai,"332,400",3988800,3,Living with Parents,17920000,4000 sq.ft,Within City Limits,15.0,Self-use,Yes,1-3 years,Direct Walk-in / Exhibition,2025-04-20,No,No,No,No,0.0459,Low,0,0
CUST_17218,40 yrs,male,Self-Employed / Business,Kolkata,250700,3008400,3,Rented,N/A,2400,Suburbs,18.0,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,2024-06-11,Yes,1,Yes,No,0.9759,High,Yes,9940000
CUST_20311,44,Male,IT & Software,Gurugram,217000,2604000,3,Owned Flat/House,9500000,1800,Suburbs,22.9,Self-use,Yes,0-6 months,Google & Social Media Ads,01-30-2025,N,1,Yes,Yes,0.99,High,Yes,9280000
CUST_15442,36,Male,govt job,Hyderabad,101100,1213200,4,Living with Parents,"INR 4,740,000",1200,City Centre,6.9,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,15/04/2025,yes,0,No,N,0.2675,Low,N,0
CUST_21715,36,Male,Self-Employed / Business,NOIDA,301500,3618000,4,Rented,17350000,2400,Within City Limits,8.9,Self-use,1,1-3 years,Channel Partner / Broker,2024-03-01,0,N,no,No,0.0732,Low,No,0
CUST_10392,-58,female,Manufacturing & Engg,Hyderabad,"₹45,500",546000,4,Owned Flat/House,"INR 2,020,000",600,Suburbs,21.5,Investment,No,>3 years,Google & Social Media Ads,02/02/2025,Yes,N,N,No,0.0297,Low,N,0
CUST_21919,36,Male,IT & Software,Mumbai,"₹143,500",1722000,4,Rented,N/A,1200,Within City Limits,16.1,Self-use,Y,6-12 months,Print / Newspaper Ad,2025-02-14,No,0,No,no,0.1153,Low,No,0
CUST_11266,40,Male,Healthcare & Doctor,mumbai,157300,1887600,4,Living with Parents,7690000,1200,Periphery / Growth Corridor,33.5,Self-use,Yes,1-3 years,Google & Social Media Ads,2024-08-22,No,Yes,No,N,0.3054,Low,Y,7630000
CUST_10421,54,F,Self-Employed / Business,Mumbai,500400,6004800,3,Owned Flat/House,26950000,2400,Suburbs,17.3 km,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,09-26-2024,No,No,No,No,0.0897,Low,N,0
CUST_11061,42,Male,Healthcare & Doctor,nan,44900,538800,3,Living with Parents,2590000,133 sq.yd,Periphery / Growth Corridor,39.6,Self-use,Yes,>3 years,Channel Partner / Broker,2025-02-01,No,No,no,No,0.0195,Low,No,0
CUST_18380,36,null,Doctor,Gurugram,86500,1038000,4,Living with Parents,5030000,1000,Within City Limits,12.1,Self-use,No,1-3 years,Magicbricks / Real Estate Portal,31-Mar-2024,No,Yes,No,No,0.2654,Low,No,0
CUST_14880,33,F,IT Sector,Kolkata,"₹69,800",837600,2,Living with Parents,2900000,1000,Periphery / Growth Corridor,45.9,Investment,Y,0-6 months,Google & Social Media Ads,2024-07-16,Yes,no,No,No,0.5096,Medium,Yes,2860000
CUST_12146,38,Male,BFSI & Banking,Bengaluru,70800,849600,4,Rented,4240000,1200 Sq Ft,Periphery / Growth Corridor,34.3,Investment,Yes,0-6 months,Google & Social Media Ads,03-25-2024,No,No,No,No,0.2253,Low,1,4220000
CUST_19553,40,Male,BFSI & Banking,Mumbai,null,1515600,5,Rented,4340000,1200,Suburbs,25.6,Self-use,Yes,0-6 months,Magicbricks / Real Estate Portal,2024-09-01,No,Yes,Yes,No,0.932,High,Yes,4140000
CUST_17915,27,F,IT & Software,Ahmedabad,37700,452400,2,Rented,"INR 2,000,000",600,Suburbs,nan,Self-use,Yes,6-12 months,Print / Newspaper Ad,2024-07-05,Yes,Yes,No,No,0.3997,Medium,Yes,1970000
CUST_21530,47,?,BFSI & Banking,Delhi,Confidential,4476000,4,Rented,16550000,1800,Suburbs,18.4,Investment,Yes,0-6 months,Magicbricks / Real Estate Portal,2025-03-23,1,Yes,yes,1,0.99,High,?,15860000
CUST_15051,27,Female,IT & Software,Delhi,102400,1228800,3,Living with Parents,5750000,1200,Periphery / Growth Corridor,42.0,Investment,Yes,6-12 months,Google & Social Media Ads,2024-04-05,Yes,No,No,No,0.1117,Low,No,0
CUST_12049,31,male,Retail & Commerce,GURUGRAM,48700,584400,3,Rented,2490000,900,Suburbs,15.6,Self-use,yes,1-3 years,Channel Partner / Broker,18/04/2025,No,yes,Yes,No,0.7414,High,0,0
