Scheme_ID,Location,Plot_Size_SqFt,Price_INR,Monthly_EMI_INR,Park,Clubhouse,Distance_from_Metro_km,Advertising_Budget_INR,Expected_Leads,Expected_Bookings,Estimated_Conversion_Pct,Demand_Level,Scheme_Success_Score,Target_Age_Group,Most_Likely_Buyers
SCH_0114,Delhi (Outer/Bawana),1200,2170000,15100,No,No,20.6,1500000,1340,172,12.8,MEDIUM,61,25-38,First-time Buyers & Investors
SCH_0115,Kolkata (New Town/Rajarhat),3000,5820000,40400,No,No,9.2,1500000,2113,279,13.2,MEDIUM,62,32-48,Self-use (Villa) + Investment
SCH_0116,Bengaluru (East),1000,4430000,30800,Yes,No,14.3,200000,296,43,14.5,LOW,45,32-48,Self-use (Villa) + Investment
SCH_0117,Pune (Hinjewadi/Wakad),1000,2350000,16300,No,No,3.5,750000,1418,178,12.6,MEDIUM,62,25-38,First-time Buyers & Investors
SCH_0118,Kolkata (New Town/Rajarhat),3000,5520000,38300,Yes,No,27.0,1000000,1234,139,11.3,MEDIUM,54,32-48,Self-use (Villa) + Investment
SCH_0119,Faridabad (Neharpar),1000,2950000,20500,No,No,4.4,350000,485,93,19.2,MEDIUM,57,25-38,First-time Buyers & Investors
SCH_0120,Greater Noida,1800,6550000,45500,Yes,Yes,7.3,200000,428,82,19.2,MEDIUM,71,32-48,Self-use (Villa) + Investment
SCH_0121,Gurugram (SPR/Sohna),1800,7170000,49800,Yes,No,7.7,750000,1389,215,15.5,MEDIUM,68,32-48,Self-use (Villa) + Investment
SCH_0122,Bengaluru (East),800,2820000,19600,No,Yes,19.2,1500000,1367,212,15.5,HIGH,85,25-38,First-time Buyers & Investors
SCH_0123,Hyderabad (Tellapur/Kollur),2400,7400000,51400,No,Yes,15.6,350000,442,70,15.8,MEDIUM,60,32-48,Self-use (Villa) + Investment
SCH_0124,Pune (Hinjewadi/Wakad),1500,4270000,29600,No,Yes,2.6,1000000,2200,448,20.4,HIGH,95,32-48,Self-use (Villa) + Investment
SCH_0125,Gurugram (SPR/Sohna),3000,18000000,125000,No,No,25.4,350000,328,42,12.8,LOW,30,40-60,Affluent Investors & Luxury Homes
SCH_0126,Hyderabad (Tellapur/Kollur),1200,5530000,38400,No,No,5.3,500000,709,100,14.1,MEDIUM,50,32-48,Self-use (Villa) + Investment
SCH_0127,Greater Noida,1800,7400000,51400,No,No,14.7,2000000,2402,216,9.0,MEDIUM,57,32-48,Self-use (Villa) + Investment
SCH_0128,Greater Noida,1800,4330000,30100,Yes,No,7.5,200000,409,80,19.6,MEDIUM,57,32-48,Self-use (Villa) + Investment
SCH_0129,Ahmedabad (SG Highway),1000,2700000,18700,Yes,No,26.3,350000,393,46,11.7,LOW,39,25-38,First-time Buyers & Investors
SCH_0130,Pune (Wagholi/Kharadi),1000,2890000,20100,No,Yes,1.4,1000000,2444,444,18.2,HIGH,88,25-38,First-time Buyers & Investors
SCH_0131,Gurugram (SPR/Sohna),800,3980000,27600,Yes,No,24.8,350000,370,57,15.4,LOW,44,32-48,Self-use (Villa) + Investment
SCH_0132,Bengaluru (North),1500,8930000,62000,Yes,No,16.1,1500000,1538,154,10.0,LOW,48,40-60,Affluent Investors & Luxury Homes
SCH_0133,Bengaluru (North),1200,4300000,29900,Yes,Yes,20.4,350000,491,79,16.1,MEDIUM,61,32-48,Self-use (Villa) + Investment
SCH_0134,Pune (Hinjewadi/Wakad),1800,6250000,43400,No,No,3.7,750000,1398,188,13.4,MEDIUM,64,32-48,Self-use (Villa) + Investment
SCH_0135,Greater Noida,800,2450000,17000,No,No,13.0,1500000,1805,216,12.0,MEDIUM,64,25-38,First-time Buyers & Investors
SCH_0136,Greater Noida,800,1920000,13300,No,No,15.8,2000000,2154,338,15.7,MEDIUM,72,25-38,First-time Buyers & Investors
SCH_0137,Kolkata (New Town/Rajarhat),1000,2420000,16800,No,No,22.5,2000000,1585,171,10.8,MEDIUM,51,25-38,First-time Buyers & Investors
SCH_0138,Pune (Wagholi/Kharadi),1000,3970000,27600,No,No,24.9,750000,909,101,11.1,MEDIUM,52,32-48,Self-use (Villa) + Investment
SCH_0139,Faridabad (Neharpar),1000,3360000,23300,Yes,No,22.9,750000,650,89,13.7,LOW,48,25-38,First-time Buyers & Investors
SCH_0140,Faridabad (Neharpar),1200,3700000,25700,Yes,Yes,11.5,200000,348,74,21.3,MEDIUM,73,32-48,Self-use (Villa) + Investment
SCH_0141,Bengaluru (East),1000,5890000,40900,No,No,24.6,350000,300,20,6.7,LOW,26,32-48,Self-use (Villa) + Investment
SCH_0142,Bengaluru (East),1500,6420000,44600,No,No,8.7,1500000,2100,324,15.4,HIGH,78,32-48,Self-use (Villa) + Investment
SCH_0143,Delhi (Outer/Bawana),3000,7860000,54600,No,No,6.0,500000,572,71,12.4,LOW,43,32-48,Self-use (Villa) + Investment
SCH_0144,Ahmedabad (SG Highway),1500,3390000,23500,No,Yes,11.5,1000000,1279,161,12.6,MEDIUM,69,25-38,First-time Buyers & Investors
SCH_0145,Greater Noida,2400,8000000,55600,Yes,Yes,26.6,500000,631,105,16.6,MEDIUM,64,40-60,Affluent Investors & Luxury Homes
SCH_0146,Delhi (Outer/Bawana),3000,5510000,38300,No,No,9.9,1500000,1928,232,12.0,MEDIUM,63,32-48,Self-use (Villa) + Investment
SCH_0147,Bengaluru (North),1000,4590000,31900,No,No,25.4,1000000,1056,83,7.9,LOW,36,32-48,Self-use (Villa) + Investment
SCH_0148,Hyderabad (Tellapur/Kollur),1800,7860000,54600,Yes,No,13.7,750000,1155,138,11.9,MEDIUM,54,32-48,Self-use (Villa) + Investment
SCH_0149,Kolkata (New Town/Rajarhat),1500,4660000,32400,No,No,18.9,500000,518,67,12.9,LOW,39,32-48,Self-use (Villa) + Investment
SCH_0150,Delhi (Outer/Bawana),1800,4030000,28000,No,No,19.2,350000,352,43,12.2,LOW,38,32-48,Self-use (Villa) + Investment
SCH_0151,Bengaluru (North),800,2680000,18600,No,No,21.8,750000,726,86,11.8,LOW,42,25-38,First-time Buyers & Investors
SCH_0152,Delhi (Outer/Bawana),1800,3540000,24600,No,Yes,18.8,200000,283,40,14.1,LOW,48,32-48,Self-use (Villa) + Investment
SCH_0153,Gurugram (SPR/Sohna),3000,13810000,95900,No,Yes,25.8,200000,289,42,14.5,LOW,48,40-60,Affluent Investors & Luxury Homes
SCH_0154,Chennai (OMR/Guduvanchery),2400,6260000,43500,No,No,25.1,1000000,1162,99,8.5,LOW,42,32-48,Self-use (Villa) + Investment
SCH_0155,Kolkata (New Town/Rajarhat),1500,4770000,33100,Yes,No,13.9,500000,798,111,13.9,MEDIUM,55,32-48,Self-use (Villa) + Investment
SCH_0156,Delhi (Outer/Bawana),1200,3670000,25500,Yes,Yes,20.3,350000,411,72,17.5,MEDIUM,68,32-48,Self-use (Villa) + Investment
SCH_0157,Pune (Wagholi/Kharadi),1800,4340000,30100,No,No,20.1,200000,183,16,8.7,LOW,23,32-48,Self-use (Villa) + Investment
SCH_0158,Pune (Wagholi/Kharadi),1800,6140000,42600,No,Yes,24.2,2000000,2345,312,13.3,HIGH,78,32-48,Self-use (Villa) + Investment
SCH_0159,Chennai (OMR/Guduvanchery),800,2710000,18800,No,No,26.8,750000,770,100,13.0,LOW,49,25-38,First-time Buyers & Investors
SCH_0160,Faridabad (Neharpar),1800,5620000,39000,No,No,12.9,200000,288,38,13.2,LOW,46,32-48,Self-use (Villa) + Investment
SCH_0161,Delhi (Outer/Bawana),2400,7480000,51900,No,No,27.5,1000000,803,71,8.8,LOW,32,32-48,Self-use (Villa) + Investment
SCH_0162,Hyderabad (Tellapur/Kollur),1800,6600000,45800,No,No,6.1,500000,740,99,13.4,MEDIUM,51,32-48,Self-use (Villa) + Investment
SCH_0163,Bengaluru (East),1500,6420000,44600,No,No,8.0,200000,303,41,13.5,LOW,37,32-48,Self-use (Villa) + Investment
SCH_0164,Faridabad (Neharpar),1800,3060000,21200,No,Yes,22.1,1500000,1306,161,12.3,MEDIUM,71,25-38,First-time Buyers & Investors
SCH_0165,Greater Noida,1000,2720000,18900,Yes,No,19.1,1000000,1360,134,9.9,LOW,49,25-38,First-time Buyers & Investors
SCH_0166,Chennai (OMR/Guduvanchery),2400,5010000,34800,Yes,No,5.6,500000,727,100,13.8,MEDIUM,51,32-48,Self-use (Villa) + Investment
SCH_0167,Greater Noida,1200,4440000,30800,No,Yes,3.2,1500000,3279,545,16.6,HIGH,84,32-48,Self-use (Villa) + Investment
SCH_0168,Bengaluru (East),800,4400000,30600,Yes,No,16.4,200000,251,34,13.5,LOW,42,32-48,Self-use (Villa) + Investment
SCH_0169,Hyderabad (Tellapur/Kollur),2400,7590000,52700,No,No,23.2,200000,145,12,8.3,LOW,26,32-48,Self-use (Villa) + Investment
SCH_0170,Pune (Wagholi/Kharadi),2400,10840000,75300,Yes,No,17.7,1000000,1353,193,14.3,HIGH,79,40-60,Affluent Investors & Luxury Homes
SCH_0171,Chennai (OMR/Guduvanchery),1500,4750000,33000,No,No,23.5,200000,198,27,13.6,LOW,40,32-48,Self-use (Villa) + Investment
SCH_0172,Chennai (OMR/Guduvanchery),1000,3030000,21000,No,No,24.0,350000,369,37,10.0,LOW,34,25-38,First-time Buyers & Investors
SCH_0173,Pune (Wagholi/Kharadi),3000,8620000,59900,No,No,15.0,350000,305,40,13.1,LOW,37,40-60,Affluent Investors & Luxury Homes
SCH_0174,Faridabad (Neharpar),1500,3790000,26300,No,No,18.5,750000,754,126,16.7,MEDIUM,55,32-48,Self-use (Villa) + Investment
SCH_0175,Greater Noida,800,2370000,16500,Yes,No,16.8,750000,968,86,8.9,LOW,37,25-38,First-time Buyers & Investors
SCH_0176,Pune (Wagholi/Kharadi),1500,7190000,49900,No,No,8.5,500000,667,94,14.1,LOW,47,32-48,Self-use (Villa) + Investment
SCH_0177,Faridabad (Neharpar),1000,2200000,15300,Yes,No,21.0,500000,590,86,14.6,LOW,47,25-38,First-time Buyers & Investors
SCH_0178,Kolkata (New Town/Rajarhat),1800,3850000,26700,Yes,No,6.0,200000,383,61,15.9,LOW,46,32-48,Self-use (Villa) + Investment
SCH_0179,Bengaluru (North),1200,4020000,27900,No,No,4.6,2000000,3630,674,18.6,MEDIUM,71,32-48,Self-use (Villa) + Investment
SCH_0180,Gurugram (SPR/Sohna),3000,9720000,67500,No,Yes,27.1,500000,694,82,11.8,MEDIUM,56,40-60,Affluent Investors & Luxury Homes
SCH_0181,Chennai (OMR/Guduvanchery),800,2530000,17600,Yes,No,19.6,350000,301,38,12.6,LOW,39,25-38,First-time Buyers & Investors
SCH_0182,Ahmedabad (SG Highway),1200,2110000,14700,No,No,22.4,350000,423,33,7.8,LOW,26,25-38,First-time Buyers & Investors
SCH_0183,Hyderabad (Tellapur/Kollur),1500,6840000,47500,No,Yes,17.5,1500000,1490,176,11.8,HIGH,75,32-48,Self-use (Villa) + Investment
SCH_0184,Bengaluru (East),2400,9350000,64900,Yes,Yes,5.4,750000,1467,225,15.3,HIGH,83,40-60,Affluent Investors & Luxury Homes
SCH_0185,Ahmedabad (SG Highway),1500,3230000,22400,No,No,13.4,1500000,1702,282,16.6,MEDIUM,69,25-38,First-time Buyers & Investors
SCH_0186,Pune (Hinjewadi/Wakad),3000,12770000,88700,Yes,Yes,18.6,500000,731,136,18.6,MEDIUM,74,40-60,Affluent Investors & Luxury Homes
SCH_0187,Gurugram (SPR/Sohna),800,3000000,20800,No,No,19.7,1500000,1444,186,12.9,MEDIUM,61,25-38,First-time Buyers & Investors
SCH_0188,Pune (Hinjewadi/Wakad),1800,6490000,45100,Yes,No,20.9,1000000,987,59,6.0,LOW,24,32-48,Self-use (Villa) + Investment
SCH_0189,Gurugram (SPR/Sohna),1000,6370000,44200,No,No,26.7,2000000,2143,128,6.0,LOW,44,32-48,Self-use (Villa) + Investment
SCH_0190,Pune (Hinjewadi/Wakad),1800,4150000,28800,No,No,25.8,350000,378,37,9.8,LOW,32,32-48,Self-use (Villa) + Investment
SCH_0191,Hyderabad (Tellapur/Kollur),2400,10360000,71900,No,No,10.1,1500000,1734,180,10.4,MEDIUM,61,40-60,Affluent Investors & Luxury Homes
SCH_0192,Bengaluru (North),1200,5470000,38000,No,No,15.9,750000,690,58,8.4,LOW,34,32-48,Self-use (Villa) + Investment
SCH_0193,Pune (Hinjewadi/Wakad),1200,3000000,20800,No,No,23.3,200000,219,20,9.1,LOW,28,25-38,First-time Buyers & Investors
SCH_0194,Kolkata (New Town/Rajarhat),1500,3580000,24900,No,No,14.6,750000,982,140,14.3,MEDIUM,60,32-48,Self-use (Villa) + Investment
SCH_0195,Bengaluru (East),1200,6010000,41700,No,No,4.5,1500000,2571,306,11.9,MEDIUM,70,32-48,Self-use (Villa) + Investment
SCH_0196,Bengaluru (East),2400,8930000,62000,No,Yes,13.6,200000,233,37,15.9,MEDIUM,55,40-60,Affluent Investors & Luxury Homes
SCH_0197,Bengaluru (North),1500,9420000,65400,No,No,27.5,350000,351,26,7.4,LOW,24,40-60,Affluent Investors & Luxury Homes
SCH_0198,Bengaluru (North),1500,5740000,39900,Yes,No,8.6,2000000,3706,538,14.5,MEDIUM,72,32-48,Self-use (Villa) + Investment
SCH_0199,Pune (Wagholi/Kharadi),3000,10560000,73300,No,No,23.6,1000000,1236,114,9.2,LOW,46,40-60,Affluent Investors & Luxury Homes
SCH_0200,Chennai (OMR/Guduvanchery),3000,5650000,39200,No,No,13.4,500000,732,117,16.0,MEDIUM,59,32-48,Self-use (Villa) + Investment
SCH_0201,Faridabad (Neharpar),1000,2690000,18700,No,No,20.1,2000000,1857,178,9.6,MEDIUM,58,25-38,First-time Buyers & Investors
SCH_0202,Delhi (Outer/Bawana),3000,9480000,65800,No,Yes,4.6,1000000,1713,333,19.4,HIGH,89,40-60,Affluent Investors & Luxury Homes
SCH_0203,Gurugram (SPR/Sohna),3000,17970000,124800,No,Yes,12.2,1500000,2734,355,13.0,HIGH,78,40-60,Affluent Investors & Luxury Homes
SCH_0204,Gurugram (SPR/Sohna),1500,8670000,60200,No,No,24.0,2000000,2146,181,8.4,MEDIUM,57,40-60,Affluent Investors & Luxury Homes
SCH_0205,Kolkata (New Town/Rajarhat),1500,5120000,35600,No,No,2.2,200000,325,61,18.8,MEDIUM,58,32-48,Self-use (Villa) + Investment
SCH_0206,Delhi (Outer/Bawana),1200,4190000,29100,No,No,21.6,1500000,1750,222,12.7,MEDIUM,64,32-48,Self-use (Villa) + Investment
SCH_0207,Chennai (OMR/Guduvanchery),1000,2920000,20300,No,Yes,9.1,500000,796,128,16.1,MEDIUM,70,25-38,First-time Buyers & Investors
SCH_0208,Bengaluru (East),1800,8210000,57000,Yes,Yes,17.5,750000,1093,147,13.4,MEDIUM,74,40-60,Affluent Investors & Luxury Homes
SCH_0209,Bengaluru (East),1500,9320000,64700,No,No,13.5,1500000,1398,125,8.9,LOW,48,40-60,Affluent Investors & Luxury Homes
SCH_0210,Chennai (OMR/Guduvanchery),1200,3460000,24000,No,No,27.7,500000,557,69,12.4,LOW,44,25-38,First-time Buyers & Investors
SCH_0211,Hyderabad (Tellapur/Kollur),2400,6840000,47500,No,No,24.1,200000,175,15,8.6,LOW,25,32-48,Self-use (Villa) + Investment
SCH_0212,Ahmedabad (SG Highway),1200,3230000,22400,No,No,8.6,1000000,1646,270,16.4,MEDIUM,72,25-38,First-time Buyers & Investors
SCH_0213,Faridabad (Neharpar),800,2660000,18500,No,No,7.4,2000000,2732,360,13.2,MEDIUM,68,25-38,First-time Buyers & Investors
SCH_0214,Delhi (Outer/Bawana),1000,2780000,19300,Yes,No,25.4,1500000,1304,142,10.9,MEDIUM,52,25-38,First-time Buyers & Investors
SCH_0215,Chennai (OMR/Guduvanchery),800,2160000,15000,Yes,No,10.0,750000,991,146,14.7,MEDIUM,59,25-38,First-time Buyers & Investors
SCH_0216,Bengaluru (North),3000,14940000,103700,No,No,23.5,500000,600,44,7.3,LOW,23,40-60,Affluent Investors & Luxury Homes
SCH_0217,Chennai (OMR/Guduvanchery),3000,6480000,45000,No,No,13.8,200000,178,23,12.9,LOW,37,32-48,Self-use (Villa) + Investment
SCH_0218,Bengaluru (East),3000,16300000,113200,No,No,22.8,500000,456,50,11.0,LOW,36,40-60,Affluent Investors & Luxury Homes
SCH_0219,Hyderabad (Tellapur/Kollur),800,2310000,16000,No,No,19.2,1000000,945,80,8.5,LOW,36,25-38,First-time Buyers & Investors
SCH_0220,Delhi (Outer/Bawana),1200,2170000,15100,Yes,No,26.5,500000,654,90,13.8,LOW,46,25-38,First-time Buyers & Investors
SCH_0221,Bengaluru (East),2400,8180000,56800,No,No,9.3,750000,886,157,17.7,MEDIUM,68,40-60,Affluent Investors & Luxury Homes
SCH_0222,Greater Noida,800,2390000,16600,Yes,No,15.6,750000,956,140,14.6,MEDIUM,58,25-38,First-time Buyers & Investors
SCH_0223,Delhi (Outer/Bawana),2400,7020000,48700,Yes,No,18.8,2000000,2271,295,13.0,MEDIUM,66,32-48,Self-use (Villa) + Investment
SCH_0224,Hyderabad (Tellapur/Kollur),1200,2740000,19000,No,Yes,24.1,200000,252,34,13.5,MEDIUM,50,25-38,First-time Buyers & Investors
SCH_0225,Pune (Wagholi/Kharadi),1800,8180000,56800,Yes,Yes,27.1,2000000,2958,529,17.9,HIGH,92,40-60,Affluent Investors & Luxury Homes
SCH_0226,Gurugram (SPR/Sohna),2400,9360000,65000,Yes,No,7.7,350000,624,113,18.1,MEDIUM,62,40-60,Affluent Investors & Luxury Homes
SCH_0227,Bengaluru (East),800,4750000,33000,Yes,No,7.4,2000000,2858,342,12.0,MEDIUM,61,32-48,Self-use (Villa) + Investment
SCH_0228,Ahmedabad (SG Highway),800,1700000,11800,No,No,15.7,2000000,1924,115,6.0,LOW,36,25-38,First-time Buyers & Investors
SCH_0229,Delhi (Outer/Bawana),3000,4950000,34400,Yes,No,1.6,500000,738,142,19.2,MEDIUM,70,32-48,Self-use (Villa) + Investment
SCH_0230,Faridabad (Neharpar),1500,3900000,27100,No,No,15.0,200000,293,47,16.0,LOW,44,32-48,Self-use (Villa) + Investment
SCH_0231,Bengaluru (East),1800,6020000,41800,No,No,15.2,750000,897,109,12.2,LOW,45,32-48,Self-use (Villa) + Investment
SCH_0232,Greater Noida,800,3840000,26700,No,Yes,14.3,750000,896,174,19.4,HIGH,83,32-48,Self-use (Villa) + Investment
SCH_0233,Gurugram (SPR/Sohna),1200,6250000,43400,No,No,16.9,1500000,1450,179,12.3,MEDIUM,61,32-48,Self-use (Villa) + Investment
SCH_0234,Ahmedabad (SG Highway),1800,3890000,27000,No,Yes,24.1,1500000,2060,195,9.5,MEDIUM,66,32-48,Self-use (Villa) + Investment
SCH_0235,Kolkata (New Town/Rajarhat),2400,7790000,54100,Yes,No,11.9,1500000,1776,286,16.1,MEDIUM,71,32-48,Self-use (Villa) + Investment
SCH_0236,Hyderabad (Tellapur/Kollur),1200,4720000,32800,Yes,No,13.9,200000,334,44,13.2,LOW,39,32-48,Self-use (Villa) + Investment
SCH_0237,Gurugram (SPR/Sohna),1500,5280000,36700,Yes,No,16.9,1000000,1262,180,14.3,MEDIUM,67,32-48,Self-use (Villa) + Investment
SCH_0238,Delhi (Outer/Bawana),800,1900000,13200,No,No,12.5,1500000,1478,150,10.1,MEDIUM,55,25-38,First-time Buyers & Investors
SCH_0239,Pune (Hinjewadi/Wakad),1800,5420000,37600,Yes,No,7.2,200000,321,45,14.0,LOW,46,32-48,Self-use (Villa) + Investment
SCH_0240,Kolkata (New Town/Rajarhat),1200,2180000,15100,Yes,No,23.9,2000000,2562,408,15.9,MEDIUM,72,25-38,First-time Buyers & Investors
SCH_0241,Ahmedabad (SG Highway),2400,6770000,47000,No,No,20.0,500000,666,102,15.3,MEDIUM,53,32-48,Self-use (Villa) + Investment
SCH_0242,Pune (Wagholi/Kharadi),800,2140000,14900,No,No,21.1,200000,196,24,12.2,LOW,39,25-38,First-time Buyers & Investors
SCH_0243,Kolkata (New Town/Rajarhat),1000,2310000,16000,Yes,No,20.5,2000000,2651,390,14.7,MEDIUM,73,25-38,First-time Buyers & Investors
SCH_0244,Ahmedabad (SG Highway),800,2620000,18200,Yes,No,8.5,1500000,2266,295,13.0,MEDIUM,60,25-38,First-time Buyers & Investors
SCH_0245,Ahmedabad (SG Highway),1500,3580000,24900,Yes,Yes,8.8,1500000,2816,571,20.3,HIGH,95,32-48,Self-use (Villa) + Investment
SCH_0246,Kolkata (New Town/Rajarhat),2400,5250000,36500,Yes,No,26.5,2000000,1866,318,17.0,MEDIUM,70,32-48,Self-use (Villa) + Investment
SCH_0247,Pune (Hinjewadi/Wakad),1200,3660000,25400,No,No,15.5,350000,343,37,10.8,LOW,34,32-48,Self-use (Villa) + Investment
SCH_0248,Delhi (Outer/Bawana),3000,6820000,47400,Yes,No,25.9,2000000,2042,159,7.8,LOW,48,32-48,Self-use (Villa) + Investment
SCH_0249,Hyderabad (Tellapur/Kollur),1800,5850000,40600,No,Yes,27.1,350000,411,62,15.1,MEDIUM,57,32-48,Self-use (Villa) + Investment
SCH_0250,Ahmedabad (SG Highway),1500,4770000,33100,No,Yes,7.7,1000000,1579,240,15.2,HIGH,77,32-48,Self-use (Villa) + Investment
SCH_0251,Gurugram (SPR/Sohna),1500,9110000,63300,Yes,Yes,3.2,1500000,2589,566,21.9,HIGH,91,40-60,Affluent Investors & Luxury Homes
SCH_0252,Kolkata (New Town/Rajarhat),1000,3320000,23100,Yes,Yes,8.1,350000,692,118,17.1,MEDIUM,68,25-38,First-time Buyers & Investors
SCH_0253,Delhi (Outer/Bawana),800,1550000,10800,No,No,21.4,2000000,2064,173,8.4,MEDIUM,50,25-38,First-time Buyers & Investors
SCH_0254,Delhi (Outer/Bawana),1800,5080000,35300,No,No,5.2,200000,268,50,18.7,MEDIUM,52,32-48,Self-use (Villa) + Investment
SCH_0255,Delhi (Outer/Bawana),1200,3740000,26000,No,No,13.6,200000,171,24,14.0,LOW,38,32-48,Self-use (Villa) + Investment
SCH_0256,Pune (Hinjewadi/Wakad),800,3100000,21500,No,No,13.6,1000000,1474,228,15.5,MEDIUM,73,25-38,First-time Buyers & Investors
SCH_0257,Faridabad (Neharpar),800,1960000,13600,No,No,9.8,750000,1019,127,12.5,MEDIUM,52,25-38,First-time Buyers & Investors
SCH_0258,Greater Noida,1500,3700000,25700,No,Yes,14.7,350000,295,37,12.5,MEDIUM,51,32-48,Self-use (Villa) + Investment
SCH_0259,Faridabad (Neharpar),1500,5220000,36200,Yes,No,11.6,2000000,2772,426,15.4,MEDIUM,72,32-48,Self-use (Villa) + Investment
SCH_0260,Ahmedabad (SG Highway),800,2480000,17200,Yes,No,16.2,750000,859,177,20.6,HIGH,81,25-38,First-time Buyers & Investors
SCH_0261,Faridabad (Neharpar),3000,8540000,59300,No,No,10.1,1000000,1468,170,11.6,MEDIUM,53,40-60,Affluent Investors & Luxury Homes
SCH_0262,Pune (Wagholi/Kharadi),1200,5660000,39300,No,Yes,9.5,750000,1288,188,14.6,MEDIUM,73,32-48,Self-use (Villa) + Investment
SCH_0263,Pune (Wagholi/Kharadi),3000,7600000,52800,Yes,No,12.5,500000,533,70,13.1,LOW,49,32-48,Self-use (Villa) + Investment
SCH_0264,Pune (Hinjewadi/Wakad),1000,4670000,32400,No,Yes,5.4,500000,1068,176,16.5,HIGH,83,32-48,Self-use (Villa) + Investment
SCH_0265,Gurugram (SPR/Sohna),1800,10340000,71800,No,No,2.2,500000,993,127,12.8,MEDIUM,57,40-60,Affluent Investors & Luxury Homes
SCH_0266,Ahmedabad (SG Highway),1000,2730000,19000,Yes,No,21.9,2000000,2662,277,10.4,MEDIUM,60,25-38,First-time Buyers & Investors
SCH_0267,Faridabad (Neharpar),1500,2520000,17500,Yes,No,17.6,2000000,2625,250,9.5,MEDIUM,62,25-38,First-time Buyers & Investors
SCH_0268,Chennai (OMR/Guduvanchery),1000,2610000,18100,No,No,6.4,1500000,2812,295,10.5,MEDIUM,63,25-38,First-time Buyers & Investors
SCH_0269,Chennai (OMR/Guduvanchery),1500,4590000,31900,No,No,27.1,2000000,1699,166,9.8,MEDIUM,52,32-48,Self-use (Villa) + Investment
SCH_0270,Ahmedabad (SG Highway),1000,3260000,22600,No,No,16.1,200000,216,24,11.1,LOW,29,25-38,First-time Buyers & Investors
SCH_0271,Kolkata (New Town/Rajarhat),3000,5510000,38300,Yes,Yes,23.5,200000,313,48,15.3,MEDIUM,53,32-48,Self-use (Villa) + Investment
SCH_0272,Bengaluru (East),3000,14070000,97700,Yes,No,14.7,350000,408,59,14.5,LOW,47,40-60,Affluent Investors & Luxury Homes
SCH_0273,Gurugram (SPR/Sohna),1200,4730000,32800,Yes,No,18.6,2000000,1940,204,10.5,MEDIUM,61,32-48,Self-use (Villa) + Investment
SCH_0274,Greater Noida,1200,5500000,38200,Yes,No,13.8,1000000,1083,128,11.8,MEDIUM,53,32-48,Self-use (Villa) + Investment
SCH_0275,Gurugram (SPR/Sohna),800,3240000,22500,No,No,4.2,500000,685,126,18.4,MEDIUM,62,25-38,First-time Buyers & Investors
SCH_0276,Gurugram (SPR/Sohna),800,3190000,22200,No,No,17.2,200000,166,11,6.6,LOW,21,25-38,First-time Buyers & Investors
SCH_0277,Ahmedabad (SG Highway),1000,2970000,20600,Yes,No,7.6,750000,1068,146,13.7,MEDIUM,60,25-38,First-time Buyers & Investors
